Account Code,Account Name,Portal URL,Type
ADMIN001,ADMIN - Matt Conway,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=ADMIN001,ADMIN
0IB5SNPS,Escapade,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=0IB5SNPS,Live Nation
0PHR4APK,Revival Event Venue,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=0PHR4APK,Live Nation
1B2VHWPH,Budweiser Stage,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=1B2VHWPH,Live Nation
28F7LZNN,Dianne's Fish Shack,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=28F7LZNN,Regular
2ASGWWVX,Fauna,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=2ASGWWVX,Regular
2TX3LXHJ,The Davenport,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=2TX3LXHJ,Regular
2YM3FVV6,Aera,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=2YM3FVV6,Regular
3BMS5273,Beamish House,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=3BMS5273,Regular
3E5D358V,Hy's Steakhouse,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=3E5D358V,Regular
3ELKA2ZU,Bar Mordecai,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=3ELKA2ZU,Regular
3GDUNBFS,Tuckers Market Place,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=3GDUNBFS,Regular
3HZS2KHN,Track & Field Bar,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=3HZS2KHN,Regular
3PLJPAWG,Dina's Tavern,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=3PLJPAWG,Regular
3WLM3FS3,Luxe Appliance Studio,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=3WLM3FS3,Regular
3WYJ9PEE,Fairmont Royal York Hotel,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=3WYJ9PEE,Regular
3X2W6K45,Drake Devonshire,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=3X2W6K45,Regular
3YBBY8SD,History,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=3YBBY8SD,Live Nation
455CDQH8,Brch & Wyn,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=455CDQH8,Regular
4A5873T2,Coffee Oysters Champagne | A Toi,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=4A5873T2,Regular
4GALK4CC,Danforth Music Hall,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=4GALK4CC,Live Nation
4GRBZBC4,Mod Club,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=4GRBZBC4,Live Nation
4O4TUYR5,Lakehouse,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=4O4TUYR5,Live Nation
4TVVHA2M,Portland Square,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=4TVVHA2M,Regular
4YW7WFL7,Nomi Resort,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=4YW7WFL7,Regular
535XRNY6,Little Beasts Brewing,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=535XRNY6,Regular
56WHMDYA,Room 797,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=56WHMDYA,Regular
5772KDCM,Roy Thomson Hall,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=5772KDCM,Regular
5AW6RUZ2,Apt 200,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=5AW6RUZ2,Regular
5D2BQ3XR,Chez Nous Wine Bar,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=5D2BQ3XR,Regular
5DHUWQXJ,Perch Restaurant,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=5DHUWQXJ,Regular
5ETF8ZYJ,Bean Counter Cafe,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=5ETF8ZYJ,Regular
